Job`Job_Operation`WC_Vendor`Operation_Service`Vendor`Sched_Start`Sched_End`Sequence`Status`Est_Total_Hrs
---`-------------`---------`-----------------`------`-----------`---------`--------`------`-------------
128266`732431`DEBURR`DEBURR-ST`NULL`2023-04-05 08:55:00.000`2023-04-06 07:01:00.000`9`C`6.0800000000000001
128405`733435`DEBURR`DEBURR-ST`NULL`2023-04-03 14:49:00.000`2023-04-03 15:00:00.000`4`C`0.16
128477`734160`A-LTH CNC`NULL`NULL`2023-03-31 12:04:00.000`2023-03-31 12:04:00.000`1`C`2.75
128525`734432`PIONEER`METAL FIN.`PIONEER`2023-03-24 12:22:00.000`2023-04-07 12:22:00.000`6`C`0.0
128525`734433`IN`IN-V`NULL`2023-04-07 13:22:00.000`2023-04-07 13:22:00.000`7`C`0.0
128706`735994`A-LTH CNCX`NULL`NULL`2023-03-28 12:37:00.000`2023-03-29 08:07:00.000`1`C`3.5
128792`736634`DEBURR`DEBURR-ST`NULL`2023-03-31 07:46:00.000`2023-03-31 08:16:00.000`5`C`0.5
128806`736731`H 500B`NULL`NULL`2023-04-03 08:19:00.000`2023-04-03 09:55:00.000`3`C`1.5800000000000001
128823`736881`A-LTH CNC`NULL`NULL`2023-03-30 09:40:00.000`2023-03-30 10:52:00.000`1`C`1.1699999999999999
128921`737607`DEBURR`DEBURR-ST`NULL`2023-04-04 14:30:00.000`2023-04-04 15:00:00.000`3`C`0.5
128968`738178`IN`IN`NULL`2023-04-05 09:28:00.000`2023-04-05 09:33:00.000`0`C`8.0000000000000002E-2
128969`738185`IN`IN`NULL`2023-04-05 09:28:00.000`2023-04-05 09:33:00.000`0`C`8.0000000000000002E-2
128970`738194`IN`IN`NULL`2023-04-03 11:58:00.000`2023-04-03 12:03:00.000`0`C`8.0000000000000002E-2
128971`738226`IN`IN`NULL`2023-04-03 13:18:00.000`2023-04-03 13:22:00.000`0`C`8.0000000000000002E-2

(14 rows affected)
