Job`Customer`Order_Date`Part_Number`Rev`Description`Order_Quantity`Extra_Quantity`Pick_Quantity`Make_Quantity`Open_Operations`Completed_Quantity`Shipped_Quantity`FG_Transfer_Qty`In_Production_Quantity`Certs_Required`Act_Scrap_Quantity`Customer_PO`Customer_PO_LN`Sched_End`Sched_Start` `Released_Date`User_Values
---`--------`----------`-----------`---`-----------`--------------`--------------`-------------`-------------`---------------`------------------`----------------`---------------`----------------------`--------------`------------------`-----------`--------------`---------`-----------`-`-------------`-----------
CALEB`D.LINNERUD`2020-05-15 00:00:00.000`DADF`A`aasdf`1`0`0`1`0`0`0`0`1`0`0`ASD`dsa`2023-03-30 00:00:00.000`2023-03-30 00:00:00.000`. Mike K`2021-12-14 00:00:00.000`NULL
129099`SENECA J`2023-04-07 00:00:00.000`1563.0492`NULL`STEEL TIMING HUB x 2.9375"`4`0`0`4`7`0`0`0`4`0`0`4700494807`2`2023-05-04 00:00:00.000`2023-04-13 00:00:00.000`1 OF 2 ITEMS - RETURN SAMPLE  BRENT`2023-04-07 00:00:00.000`NULL
129098`SENECA J`2023-04-07 00:00:00.000`26T, 2.32 DP COOKER GEAR`NULL`4140, W/3 TAPPED HOLES`2`0`0`2`8`0`0`0`2`0`0`4700494807`1`2023-05-04 00:00:00.000`2023-04-12 00:00:00.000`1 OF 2 ITEMS - RETURN SAMPLE  BRENT`2023-04-07 00:00:00.000`NULL
129097`MGS GROUP`2023-04-07 00:00:00.000`UMS-110320`NULL`36T, 6DP IDLER GEAR`2`1`0`3`10`0`0`0`3`0`0`9034-23`1`2023-05-12 00:00:00.000`2023-04-14 00:00:00.000`1 ITEM   BRENT`2023-04-07 00:00:00.000`NULL
129096`SENECA J`2023-04-07 00:00:00.000`1367988`NULL`DELRIN KO PAD - NATURAL`18`0`0`18`7`0`0`0`18`0`0`4700494713`1`2023-05-02 00:00:00.000`2023-04-12 00:00:00.000`1 ITEM   BRENT`2023-03-31 00:00:00.000`NULL
129086`KORBER`2023-04-06 00:00:00.000`KW0220276700000`NULL`24T, AT10 PULLEY`6`0`6`0`1`0`0`0`0`0`0`4201151812`3`2023-04-11 00:00:00.000`2023-04-07 00:00:00.000`1 OF 3 ITEMS SHIPS WITH 129084  Greg V`2023-04-07 00:00:00.000`NULL
129085`KORBER`2023-04-06 00:00:00.000`185532`3`25T, 1" PITCH SPROCKET`100`0`0`100`10`0`0`0`100`0`0`4201151812`2`2023-05-19 00:00:00.000`2023-04-11 00:00:00.000`1 OF 3 ITEMS SHIPS SEPARATE  Greg V`2023-04-07 00:00:00.000`NULL
129084`KORBER`2023-04-06 00:00:00.000`K051C5481`NULL`40T, AT10 ALUMINUM PULLEY`1`0`1`0`1`0`0`0`0`0`0`4201151812`1`2023-04-11 00:00:00.000`2023-04-07 00:00:00.000`1 OF 3 ITEMS SHIPS SEPARATE W/ 129086 Greg V`2023-04-07 00:00:00.000`NULL
129083`PCMC`2023-04-06 00:00:00.000`210917.001.0`NULL`33T, 3/8 CP SPUR GEAR`1`0`0`1`0`1`1`0`0`0`0`P693532`1`2023-04-07 00:00:00.000`2023-04-07 00:00:00.000`1 ITEM  BRENT`2023-04-06 00:00:00.000`4377
129082`PSA - ONTA`2023-04-06 00:00:00.000`28M244`NULL`SEAMING LEVER SHAFT`3`1`0`4`13`0`0`0`4`0`0`P614481`1`2023-05-10 00:00:00.000`2023-04-12 00:00:00.000`1 ITEM   BRENT`2023-04-06 00:00:00.000`NULL
129081`EDG GEAR`2023-04-06 00:00:00.000`262294`F`73T, 6DP NON-STANDARD GEAR`6`0`0`6`12`0`0`0`6`0`0`RF 04/06/23`1`2023-05-11 00:00:00.000`2023-04-11 00:00:00.000`1 ITEM  Greg V`2023-04-07 00:00:00.000`NULL
129080`PSA-CLEAR`2023-04-06 00:00:00.000`W174875`1`40HB150 X 1.126, ALUMINUM`6`0`0`6`9`0`0`0`6`0`0`P614490`1`2023-05-01 00:00:00.000`2023-04-12 00:00:00.000`1 ITEM - JAMIE`2023-04-06 00:00:00.000`NULL
129079`QUAD-SUSSE`2023-04-06 00:00:00.000`0301.1563.3`NULL`92T, 2.5 MOD. L.H. HEL. GEAR`1`1`0`2`6`0`0`0`2`0`0`4660054`1`2023-04-26 00:00:00.000`2023-04-13 00:00:00.000`1 ITEM Caleb H`2023-04-07 00:00:00.000`NULL
129078`BRETTING`2023-04-06 00:00:00.000`348-339`A`120T, 6 DP SPUR GEAR`1`0`0`1`6`0`0`0`1`0`0`S16885`3`2023-05-04 00:00:00.000`2023-04-14 00:00:00.000`1 OF 3 ITEMS - THIS JOB SHIPS LATER W/JOB # 129077 Caleb H`2023-04-07 00:00:00.000`NULL
