Job`Material`Vendor`Description`Pick_Buy_Indicator`Status
---`--------`------`-----------`------------------`------
128966`2X1545`RYERSON`NULL`P`O
128966`1.437`PARKWAY`10L FLNG (PART #10L) .942 ID`P`O
128965`364824`NULL`P40-8M-50 PULLEY`P`O
128964`2.75X4140HT`NULL`2.75" RND.`P`C
128959`25.5X18X2.5 1045 PLATE`CASTLE`STRESS RELIEVED AFTER CUTTING`B`S
128958`2.25X4140HT`NULL`2.25" RND.`P`O
128957`5.5X6061`ALRO`5.5" RND.`P`O
128956`10.5X4140HT`NULL`10.5" RND.`P`O
128955`10.5X4140HT`NULL`10.5" RND.`P`O
128954`5X4140HT`CASTLE`5" RND.`P`O
128953`13X4140HT`NULL`13" RND.`P`O
128952`8XGI`NULL`8" RND. (CLASS # 40)`P`O
128951`8XGI`NULL`8" RND. (CLASS # 40)`P`O
128950`3.25X4140HT`NULL`3.25" RND.`P`O
128949`2.5X1545`NULL`2.5" RND.`P`O
128948`5X1545`NULL`5" RND.`P`O
128947`10XGI`DURA-BAR`10" RND. (CLASS # 40)`P`O
128946`9.5X4140HT`NULL`9.5" RND.`P`O
128945`CB2024-08 BRZ BRG`MOTION-JVL`1 1/2" x 1 1/4" x 1" BRZ BUSH`B`S
128945`3X6061`NULL`3" RND.`P`O
128944`4.5X4140HT`NULL`4.5" RND.`P`O
128943`13.5X4140HT`NULL`13.5" RND.`P`O
128942`17X4140HT`ALRO`17" ROUND`B`S
128941`8.5X4140HT`NULL`8.5" RND.`P`O
128940`6.5X4140HT`NULL`6.5" RND.`P`O
128939`7X4140HT`NULL`7" RND.`P`O
128938`6X4140HT`NULL`6" RND.`P`O
128931`6X4140`NULL`6" RND.`P`O
128930`7XGI`NULL`7" RND. (CLASS # 40)`P`O
128930`PIPE PLUG 1/8-27`MOTION-JVL`1/8-27 PIPE TAP PLUG`P`O
128929`14XDI`NULL`14" RND.`P`O
128928`8.5X4140HT`NULL`8.5" RND.`P`O
128927`3.5X4140`NULL`3.5" RND.`P`O
128926`9X1545`ALRO`9" RND.`P`O
128925`086968`NULL`30L050 PULLEY - ALUMINUM`P`O
128924`6.5X1545`NULL`6.5" RND.`P`O
128923`7.5X4140HT`CASTLE`7.5" RND.`P`O
128922`MC907 9" X 12.0" LONG ROD`ALRO`MC907 NYLON ROD`B`S
128921`8X1545`NULL`8" RND.`P`C
128920`5/8" X 3/4" X 1¼" LG. BUSHING`MOTION-JVL`NULL`B`C
128920`2X4140`NULL`2" RND.`P`O
128919`2X4140HT`NULL`2" RND.`P`O
128915`NNSM5.0X3.25X13`NULL`NNSM 5" X 3.25" X 13"`P`O
128915`NNSM5.0X3.25X13`NULL`NNSM 5" X 3.25" X 13"`P`O
128914`NNSM6.0X3.25X13`DURAGEAR`NNSM 6" X 3.25" X 13"`P`O
128912`2X4140HT`NULL`2" RND.`P`O
128911`4XDELRIN 150 (NATURAL)`NULL`4" RND.`P`O
128910`7.5X4140HT`CASTLE`7.5" RND.`P`C
128909`5.5X4140`NULL`5.5" RND.`P`O
128908`6X4140HT`NULL`6" RND.`P`O
128907`NMC9079X3.5SSX1.75`NULL`MC907 NYLASTEEL BLANK - 303SS`P`O
128906`NMC907 4.5X2.75SSX13`DURAGEAR`MC907 303 ST.ST. CORE 13" LONG`P`O
128905`NNSM4.5X2.25X13`NULL`NNSM 4.5" X 2.25" X 13"`P`O
128904`NNSM8.0X4.5SSX13`DURAGEAR`NULL`P`O
128903`2X4140HT`NULL`2" RND.`P`C
